address,rooms,area,floor,building_type,rent/month,price
Kalniņa 1,1,16,1/5,Renov.,3500,56000
Kalniņa 4,6,180,2/6,P. kara,1356,244000
Pērnavas 37A,3,47,1/5,P. kara,913,42900
Lugažu 6,3,59,1/5,Hrušč.,1525,90000
Hospitāļu 8,5,107,6/7,Specpr.,2150,230000
Miesnieku 17,2,90,4/5,Renov.,7222,650000
Valmieras 6,1,22,2/3,P. kara,723,15900
Miera 57A,2,62,4/4,Jaun.,2335,144800
Birznieka-Upīša 10,3,71,2/5,Renov.,2250,159750
Lāčplēša 24,2,52,4/6,Renov.,2391,124320
Valdemāra 41,3,82,2/7,Jaun.,3463,284000
Čaka 146,2,74,2/5,P. kara,1486,110000
Vesetas 34,3,75,5/12,Čehu pr.,1493,112000
Jēkaba 26/28,2,67,5/5,P. kara,2164,145000
Brīvības 66,2,46,6/6,P. kara,1956,89990
Brīvības 30,3,76,4/5,P. kara,1842,140000
Martas 7,3,97,2/7,Jaun.,2423,235000
Elizabetes 18,3,98,5/6,Renov.,6122,600000
Elizabetes 18,3,109,5/6,Renov.,6147,670000
Dzirnavu 6,2,48,4/4,Renov.,3104,149000
Stabu 21,4,117,2/6,Jaun.,1838,215000
Rūpniecības 50,3,80,4/7,Jaun.,2500,200000
Vīlandes 5,4,200,4/5,Jaun.,2400,480000
Duntes Iela,2,52,1/3,P. kara,1192,62000
Raiņa bulv. 2,2,44,3/6,Renov.,2818,124000
Mastu 1,3,140,3/4,Renov.,1421,199000
Elizabetes 3,6,267,4/6,Renov.,7491,2000000
Skolas 14,4,145,3/6,Renov.,2414,350000
Strēlnieku 5,4,135,1/7,Jaun.,4459,602030
Blaumaņa 25,2,45,1/5,P. kara,1944,87500
