address,rooms,area,floor,building_type,rent/month,price
,,,,,,
Dzirciema 7,2,38,1/5,LT proj.,974,37000
M. Nometņu 78,3,62,1/2,Renov.,2056,127500
Liepājas 2,3,108,2/6,Jaun.,2306,249000
Margrietas 16,3,108,3/3,Renov.,1343,145000
,,,,,,
Zeļļu 13,1,45,1/3,P. kara,1000,45000
Ernestīnes 6A,3,54,1/4,Jaun.,2593,140000
Ernestīnes 6A,3,67,1/4,Jaun.,2343,157000
Vienības g. 43,3,98,3/3,Jaun.,2245,220000
Raņķa d. 34,3,94,8/23,Jaun.,2341,220059
Raņķa d. 34,5,184,14/22,Jaun.,2561,471179
Raņķa d. 34,4,114,7/22,Jaun.,2267,258413
Atpūtas 12,1,43,1/2,Hrušč.,1512,65000
Tapešu 43,2,39,3/5,LT proj.,987,38500
Jelgavas 92,1,18,1/3,P. kara,1722,31000
,,,,,,
Mārtiņa 8A,3,84,1/7,Renov.,1726,145000
Kalnciema 81,2,30,1/2,P. kara,1350,40500
Kuldīgas 46,2,38,2/5,LT proj.,1447,55000
Dobeles 3,2,38,1/4,P. kara,1050,39900
,,,,,,
Slokas 50a,2,40,3/4,Hrušč.,1500,60000
Lavīzes 2,2,42,2/5,P. kara,2452,103000
Raņķa d. 34,2,40,13/23,Jaun.,3925,157000
Nometņu 57,1,28,1/2,P. kara,782,21900
Grīna bulv. 9,3,58,5/5,Specpr.,1483,86000
Kuldīgas 5,3,45,1/4,Priv. m.,862,38800
Liepājas 2,2,81,5/6,Jaun.,2272,184000
Vīlipa 3,2,57,1/2,P. kara,614,35000
