address,rooms,area,floor,building_type,rent/month,price
Dzirciema 31,4,161,3/3,Jaun.,1522,245000
Spilves 37B,2,49,1/5,LT proj.,878,43000
Stūres 1A,3,76,2/3,Staļina,895,68000
Spilves 33,2,39,4/5,LT proj.,1205,47000
Buļļu 31,3,55,5/5,LT proj.,1142,62800
Dzirciema 74,2,43,1/5,Hrušč.,953,41000
,,,,,,
Daugavgrīvas 132/1,2,51,2/4,Staļina,1314,67000
Lidoņu 23,3,68,5/5,LT proj.,1265,86000
,,,,,,
Lidoņu 23,2,49,3/5,LT proj.,1347,66000
Dzirciema 52 k2,3,93,1/5,103.,1344,125000
Buļļu 42A,2,44,8/9,119.,1180,51900
Grīvas 4,2,59,1/5,Specpr.,725,42780
Grīvas 4,3,72,1/5,Specpr.,693,49870
Saulgožu 21,1,30,5/5,Hrušč.,1077,32300
Saulgožu 13,2,41,4/5,Hrušč.,1012,41500
Baltā 22 k-1,2,50,3/5,103.,974,48700
Saulgožu 19,3,53,4/5,Hrušč.,940,49800
,,,,,,
Vaidelotes 22,1,29,3/5,Hrušč.,1121,32500
Cementa 20,2,49,1/5,LT proj.,816,40000
Lidoņu 3a,3,54,5/5,LT proj.,833,45000
Baltā 12,1,29,2/2,P. kara,466,13500
Dagmāras 14,2,42,2/5,Hrušč.,940,39500
Cementa 20,2,49,1/5,LT proj.,816,40000
Motoru 3,1,25,5/5,M. ģim.,940,23500
,,,,,,
Šauļu 6,2,42,1/3,Hrušč.,940,39500
Palangas 8,3,66,1/5,LT proj.,727,48000
