description,address,rooms,area(kvm.),floor,building_type,rent/month,price,region,url
Tiek pārdots dzīvoklis ar mierīgu skatu uz ezeru. +Mājīgs kār,Murjāņu 46,1,31,5/5,Hrušč.,1032,31999,yugla,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/fgihh.html
N/A,Tirzas 3,2,52,5/5,Hrušč.,1154,60000,yugla,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/aendh.html
Pārdodas pilnībā mēbelēts dzīvoklis ar zemi (~300m2) slēgtā ciem,Juglas 54,2,77,1/2,Jaun.,2195,169000,yugla,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/afmxh.html
Silts 3 istabu dzīvoklis vietā ar labi attīstītu infrastruktūru.,Silciema 15 k-5,3,57,1/5,Hrušč.,860,49000,yugla,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/aeohh.html
Продаю или меняю. Две комнаты в доме типа общежития с общей кухн,Brīvības 385,2,28,3/3,P. kara,768,21500,yugla,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/alcmk.html
Gaišs gaumīgs un plašs 57m2 liels trīsistabu dzīvoklis Juglā me,Silciema 13/2,3,57,4/5,LT proj.,1053,60000,yugla,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/afcoj.html
Īpašnieks pārdod siltu un gaišu 3 istabas dzīvokli Juglā - klusā,Kvēles 29,3,59,5/5,Hrušč.,961,56698,yugla,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/cpfok.html
Комнаты смежные. Окошки все на южную сторону. Просится косме,Kvēles 27,2,47,4/5,Hrušč.,947,44500,yugla,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/anhcj.html
Ja vēlies investēt naudu nekustamajā īpašumā par izdevīgu cenu ,Mārkalnes 5,1,17,4/5,Specpr.,885,15037,yugla,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/chbjl.html
Autonoma ieeja liela terase savs zemes gabals penthaus tipa d,Juglas krastm. 17,2,133,2/2,Jaun.,969,128900,yugla,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/eedpj.html
Tiek pārdots mājīgs un silts vienistabas dzīvoklis pie Juglas ez,Baltezera 5,1,26,1/5,Hrušč.,1288,33500,yugla,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/bepbl.html
